leftside,rightside,support
P, ,0.8584858569051581
S,y,0.8584858569051581
A,o,0.8584026622296173
g,d,0.8579866888519134
d,T,0.8571547420965058
a,P,0.8569051580698835
P,e,0.8565723793677205
k,h,0.856405990016639
C,u,0.8562396006655574
s,A,0.8559068219633943
B,d,0.8558236272878535
A,l,0.8557404326123128
S,m,0.8555740432612313
c,T,0.8552412645590682
P,",",0.8550748752079866
i,P,0.8545757071547421
m,M,0.8543261231281198
n,P,0.8541597337770382
C,d,0.8540765391014975
t,A,0.8540765391014975
P,o,0.8537437603993344
P,r,0.8534941763727122
u,k,0.8534109816971713
c,B,0.8529118136439268
y,B,0.852828618968386
u,D,0.8524958402662229
S,M,0.8524958402662229
y,T,0.8523294509151415
c,k,0.8521630615640599
k,d,0.8509983361064892
P,l,0.8507487520798669
m,T,0.8507487520798669
t,P,0.8505823627287854
c,g,0.8504991680532445
a,R,0.8503327787021631
C,c,0.8502495840266223
s,P,0.8500831946755407
R,e,0.85
R, ,0.8499168053244592
h,D,0.8492512479201331
g,y,0.8491680532445923
D,d,0.8489184692179701
i,R,0.8484193011647254
y,k,0.8481697171381032
S,T,0.8476705490848586
R,n,0.8476705490848586
C,y,0.8475873544093178
R,o,0.847504159733777
R,",",0.8474209650582363
A,d,0.846838602329451
L, ,0.8465890183028286
R,r,0.8464226289517471
A,h,0.8463394342762063
u,A,0.8461730449251248
a,L,0.8455074875207986
m,g,0.8454242928452579
e,L,0.8453410981697171
M,T,0.8453410981697171
S,g,0.8448419301164726
s,R,0.844342762063228
c,D,0.844342762063228
g,M,0.8441763727121464
i,L,0.8440931780366057
R,l,0.8440099833610649
n,L,0.8439267886855242
M,B,0.8435940099833611
L,",",0.8435108153078203
m,B,0.8431780366056573
y,D,0.8430116472545757
p, ,0.8428452579034942
C,m,0.8426788685524127
b, ,0.8426788685524127
t,R,0.8425956738768718
p,e,0.8425124792013311
b,e,0.8423460898502496
L,r,0.8423460898502496
C,M,0.8420965058236273
L,o,0.8420133111480865
a,b,0.8419301164725458
a,p,0.841846921797005
m,k,0.841846921797005
c,A,0.841514143094842
M,k,0.841514143094842
J, ,0.8413477537437604
S,k,0.8412645590682196
S,B,0.8411813643926789
u,P,0.8410981697171381
i,b,0.8408485856905158
a,J,0.840765391014975
b,",",0.8405990016638936
b,r,0.8405158069883527
P,h,0.8401830282861897
i,p,0.8401830282861897
b,o,0.8400998336106489
m,D,0.8400166389351081
b,n,0.8400166389351081
p,o,0.8399334442595674
l,L,0.8399334442595674
J,e,0.8399334442595674
p,",",0.8398502495840267
n,p,0.8397670549084859
s,L,0.8397670549084859
g,T,0.8396838602329451
C,S,0.8396006655574043
J,n,0.8392678868552412
p,r,0.8392678868552412
b,l,0.839018302828619
B,T,0.8385191347753744
J,",",0.8385191347753744
p,l,0.8382695507487521
s,p,0.8378535773710483
t,b,0.8377703826955075
v, ,0.8373544093178037
P,d,0.8373544093178037
i,J,0.8373544093178037
J,o,0.8372712146422628
R,h,0.8371880199667221
g,B,0.8371880199667221
y,A,0.8371880199667221
t,p,0.8370216306156406
s,b,0.8369384359400999
e,v,0.836855241264559
s,J,0.8366888519134775
c,P,0.836522462562396
a,v,0.836522462562396
t,L,0.836522462562396
J,r,0.8360232945091514
S,D,0.8357737104825291
R,d,0.8357737104825291
u,R,0.8356073211314475
M,D,0.8355241264559068
k,T,0.8355241264559068
i,v,0.8353577371048253
m,A,0.8346089850249584
C,T,0.8345257903494177
